_id,id,name,type,maintenance_responsibility,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
20,445268632,Baxter Park,Park,Parks - Eastern,,Homewood North,9,13,42003130200,2,13,5,3-17,40.45608163,-79.88919674
23,1990832198,Beechview Healthy Active Living Center Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41072063,-80.02436175
24,2099892727,Blair Street Park,Park,Parks - Schenley,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.40397355,-79.94567238
25,597222795,Bon Air Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Bon_Air_Park.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.4075222,-79.99999487
26,79129285,Boundary Street Park,Park,Parks - Schenley,,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43852827,-79.95058888
27,1591249432,Brighton Heights Park,Park,Parks - Northern,,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4855996,-80.02960586
29,485027123,Brookline Memorial Park,Park,Parks - Southern,,Brookline,4,32,42003320600,5,32,6,4-25,40.39004596,-80.00451498
31,276671370,Bud Hammer Park,Park,Parks - Schenley,,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42095425,-79.94669546
32,1899722366,Buhl Community Park at Allegheny Square,Park,Parks - Northern,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45244695,-80.0058282
33,1398444262,Burgwin Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Burgwin_Park.jpg,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40444462,-79.93683426
34,1023513713,Catalano Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Catalano_Park.jpg,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46027648,-79.9919523
35,29267618,Chadwick Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46548562,-79.89150182
36,708514774,Chartiers Park,Park,Parks - Western,,Windgap,2,28,42003563000,5,28,6,1-16,40.4569996,-80.07429276
37,712782057,Cobden Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41933769,-79.96819783
38,2113503545,Cowley Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cowley_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45868971,-79.98892443
40,1938420516,Crafton Heights Park,Park,Parks - Western,,Westwood,2,28,42003563100,5,28,6,1-18,40.43618562,-80.05669426
41,1049783368,Cross and Strauss Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cross_and_Strauss_Park.jpg,Perry South,6,26,42003261400,1,26,1,1-12,40.46507273,-80.02006439
43,1026385297,Dallas Park,Park,Parks - Eastern,,Homewood West,9,12,42003120700,2,12,5,3-17,40.45787275,-79.90451219
44,564546832,Davis Park,Park,Parks - Eastern,,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43236453,-79.92495677
45,636955251,Denny Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Denny_Park.jpg,Strip District,7,6,42003020300,6,6,2,3-2,40.45791529,-79.97300942
46,358324227,Devlin Field Park,Park,Parks - Southern,,Arlington,3,16,42003561600,3,16,3,4-8,40.41363133,-79.96239682
47,529528940,Dinan Park,Park,Parks - Northeast,,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48334706,-79.93258116
48,809506879,Dunbar Park,Park,Parks - Western,,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43875027,-80.05238196
49,422120933,Duncan Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Duncan_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48027054,-79.94836599
50,517114806,East Carnegie Park,Park,Parks - Western,,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41464246,-80.07487648
51,1933090844,East Hills Park,Park,Parks - Eastern,,East Hills,9,13,42003130600,2,13,5,3-19,40.45322138,-79.87049295
52,210545055,East Liberty Park,Park,Parks - Eastern,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46206529,-79.91874532
55,303472511,Eleanor Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42140787,-79.97287912
56,1776238102,Emerald View Park - Grandview Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.4265022,-79.99672317
57,1056960831,Emerald View Park - Bigbee Field Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.42777444,-80.00137966
59,495410073,Emerald View Park - Eileen McCoy Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Emerald_View_Park_-_Eileen_McCoy_Park.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43820153,-80.02448974
60,919254688,Emerald View Park - Grandview Overlook,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43290121,-80.00852095
61,255934841,Emerald View Park - Mt. Washington Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42280959,-80.01545509
62,983437605,Emerald View Park - Olympia Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43099486,-80.01836069
63,1599043610,Emerald View Park - Ream Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43097353,-80.01324585
64,1783038748,Emerald View Park - Shiloh Street Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43141682,-80.00674163
65,1066215150,Enright Park,Park,Parks - Northeast,,East Liberty,9,8,42003111500,2,8,5,3-23,40.46188541,-79.9298333
66,1702828724,Esplen Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Esplen_Park.jpg,Esplen,2,20,42003562500,5,20,6,1-27,40.46071792,-80.050795
67,716530927,Fairywood Park,Park,Parks - Western,,Fairywood,2,28,42003563000,5,28,6,1-16,40.4490034,-80.0804927
